Timestamp,nb_A,nb_W,nb_A_W,predicted_nb_A,predicted_nb_W
Sun Dec 15 19:34:07 2024,11376,755,12131,0,0
Sun Dec 15 19:34:13 2024,18228,1299,19527,0,0
Sun Dec 15 19:34:18 2024,26819,1642,28461,0,0
Sun Dec 15 19:34:23 2024,26234,1462,27696,0,0
Sun Dec 15 19:34:28 2024,26736,1435,28171,0,0
Sun Dec 15 19:34:33 2024,24677,1516,26193,0,0
Sun Dec 15 19:34:38 2024,26593,2206,28799,0,0
Sun Dec 15 19:34:44 2024,22926,1824,24750,0,0
Sun Dec 15 19:34:49 2024,27154,1670,28824,0,0
Sun Dec 15 19:34:54 2024,15892,579,16471,10738.87,624.26
Sun Dec 15 19:34:59 2024,12125,219,12344,9097.41,507.51
Sun Dec 15 19:35:04 2024,12370,487,12857,8044.66,436.25
